tweet,date,comments,shares,likes,views,language
"Any political figure, CEO or other person that uses the words ""Climate change"" or ""sustainable development"" in a sentence is a CON MAN/WOMAN and should be immediately removed from positions of influence.",2024-05-22T21:53:14.000Z,,1.0,1.0,18.0,en
CO2 is plant food!It is not rocket science!,2024-05-22T16:23:06.000Z,1.0,,,10.0,en
"In the future, they will look at ""man made climate change"" in the same way we look at the belief the earth was flat by the consensus in the past.",2024-05-22T10:11:35.000Z,,2.0,,26.0,en
THE BIG LIE,2024-05-25T12:56:38.000Z,,,4.0,54.0,en
I’ll just leave this stuff here...,2024-05-22T11:29:00.000Z,,3.0,4.0,106.0,en
,2024-05-23T05:15:37.000Z,,,1.0,6.0,en
@JaneCaro,2024-05-23T14:46:31.000Z,,,1.0,6.0,en
"@RoyalFamily  @RoyalNavy Was big mistake giving this guy & greenpeace a place to hide out in Sandy Point, NS 1975-1979. Big mistake letting his followers commit so many deadly crimes on my friends. I want your ""franco witches"" deported. Pay my dues and deport the witches. Merci.",2024-05-26T14:59:17.000Z,,,1.0,19.0,en
"Here you go, making it really easy for you to do the right thing @CBCNews , @globalnews , @CTVNews .",2024-05-22T19:05:46.000Z,,1.0,,22.0,en
Perfect explanation which should easily show every single person on earth that without carbon dioxide …this will be a “dead planet.” Time to wake up for the sake of our children and grandchildren.,2024-05-24T03:54:28.000Z,,,2.0,3.0,en
@GreenpeaceUK,2024-05-22T12:50:57.000Z,,,1.0,27.0,en
If dire climate change was real we would have seen dramatic results by now. After 50 years of crying wolf we know it's simply wrong.,2024-05-23T12:16:33.000Z,,,1.0,14.0,en
"Never mind man made climate change, magnetic field reversal and sun flares will kill us off first.They also contribute to .... climate change.",2024-05-22T12:21:45.000Z,,,1.0,22.0,en
"In the future, they will look at ""man made climate change"" in the same way we look at the belief the earth was flat by the consensus in the past.",2024-05-22T10:11:35.000Z,2.0,,26.0,,en
THE BIG LIE,2024-05-25T12:56:38.000Z,,,4.0,54.0,en
I’ll just leave this stuff here...,2024-05-22T11:29:00.000Z,,3.0,4.0,106.0,en
,2024-05-23T05:15:37.000Z,,,1.0,6.0,en
@JaneCaro,2024-05-23T14:46:31.000Z,,,1.0,6.0,en
"@RoyalFamily  @RoyalNavy Was big mistake giving this guy & greenpeace a place to hide out in Sandy Point, NS 1975-1979. Big mistake letting his followers commit so many deadly crimes on my friends. I want your ""franco witches"" deported. Pay my dues and deport the witches. Merci.",2024-05-26T14:59:17.000Z,,,1.0,19.0,en
"Here you go, making it really easy for you to do the right thing @CBCNews , @globalnews , @CTVNews .",2024-05-22T19:05:46.000Z,,1.0,,22.0,en
Perfect explanation which should easily show every single person on earth that without carbon dioxide …this will be a “dead planet.” Time to wake up for the sake of our children and grandchildren.,2024-05-24T03:54:28.000Z,,,2.0,3.0,en
@GreenpeaceUK,2024-05-22T12:50:57.000Z,,,1.0,27.0,en
